qid,qcate
d5bbc7c80dba11ecb1e81171463288e9,YesNo
d5bbc8720dba11ecb1e81171463288e9,Others
d5bbd7040dba11ecb1e81171463288e9,color
d5bbd7540dba11ecb1e81171463288e9,choose
d5bbdda80dba11ecb1e81171463288e9,Others
d5bbdefc0dba11ecb1e81171463288e9,choose
d5bbe3de0dba11ecb1e81171463288e9,YesNo
d5bbf9e60dba11ecb1e81171463288e9,number
d5bbfd6a0dba11ecb1e81171463288e9,Others
d5bc06ac0dba11ecb1e81171463288e9,Others
d5bc07560dba11ecb1e81171463288e9,color
d5bc0ee00dba11ecb1e81171463288e9,choose
d5bc143a0dba11ecb1e81171463288e9,Others
d5bc218c0dba11ecb1e81171463288e9,Others
d5bc247a0dba11ecb1e81171463288e9,number
d5bc38160dba11ecb1e81171463288e9,YesNo
d5bc5d500dba11ecb1e81171463288e9,Others
d5bc6f480dba11ecb1e81171463288e9,YesNo
d5bc76b40dba11ecb1e81171463288e9,Others
d5bc873a0dba11ecb1e81171463288e9,Others
d5bca0580dba11ecb1e81171463288e9,color
d5bcadbe0dba11ecb1e81171463288e9,color
d5bcae220dba11ecb1e81171463288e9,Others
d5bcb4440dba11ecb1e81171463288e9,number
d5bcc8bc0dba11ecb1e81171463288e9,number
d5bcc9a20dba11ecb1e81171463288e9,Others
d5bccc680dba11ecb1e81171463288e9,Others
d5bcd3700dba11ecb1e81171463288e9,shape
d5bcde060dba11ecb1e81171463288e9,choose
d5bcdffa0dba11ecb1e81171463288e9,shape
d5bceb4e0dba11ecb1e81171463288e9,number
d5bcf3280dba11ecb1e81171463288e9,YesNo
d5bcf3a00dba11ecb1e81171463288e9,choose
d5bd0c960dba11ecb1e81171463288e9,choose
d5bd151a0dba11ecb1e81171463288e9,YesNo
d5bd18d00dba11ecb1e81171463288e9,choose
d5bd2ec40dba11ecb1e81171463288e9,Others
d5bd46ca0dba11ecb1e81171463288e9,Others
d5bd5a700dba11ecb1e81171463288e9,Others
d5bd5dc20dba11ecb1e81171463288e9,YesNo
d5bd60920dba11ecb1e81171463288e9,number
d5bd61820dba11ecb1e81171463288e9,number
d5bd661e0dba11ecb1e81171463288e9,Others
d5bd69d40dba11ecb1e81171463288e9,choose
d5bd6b460dba11ecb1e81171463288e9,color
d5bd70960dba11ecb1e81171463288e9,number
d5bd744c0dba11ecb1e81171463288e9,Others
d5bd78700dba11ecb1e81171463288e9,choose
d5bd8e460dba11ecb1e81171463288e9,choose
d5bd99860dba11ecb1e81171463288e9,color
d5bd9c560dba11ecb1e81171463288e9,Others
d5bdb2180dba11ecb1e81171463288e9,choose
d5bdbaa60dba11ecb1e81171463288e9,Others
d5bdde8c0dba11ecb1e81171463288e9,number
d5bdebf20dba11ecb1e81171463288e9,number
d5be0dda0dba11ecb1e81171463288e9,YesNo
d5be108c0dba11ecb1e81171463288e9,choose
d5be15a00dba11ecb1e81171463288e9,Others
d5be194c0dba11ecb1e81171463288e9,number
d5be1c760dba11ecb1e81171463288e9,color
d5be30800dba11ecb1e81171463288e9,number
d5be38000dba11ecb1e81171463288e9,Others
d5be47460dba11ecb1e81171463288e9,Others
d5be58da0dba11ecb1e81171463288e9,Others
d5be63de0dba11ecb1e81171463288e9,Others
d5be687a0dba11ecb1e81171463288e9,color
d5be76800dba11ecb1e81171463288e9,YesNo
d5be79320dba11ecb1e81171463288e9,choose
d5be833c0dba11ecb1e81171463288e9,number
d5be8b2a0dba11ecb1e81171463288e9,Others
d5be8ba20dba11ecb1e81171463288e9,number
d5be8ee00dba11ecb1e81171463288e9,YesNo
d5be973c0dba11ecb1e81171463288e9,choose
d5be989a0dba11ecb1e81171463288e9,Others
d5bea8bc0dba11ecb1e81171463288e9,choose
d5beace00dba11ecb1e81171463288e9,choose
d5beaf2e0dba11ecb1e81171463288e9,number
d5beb2ee0dba11ecb1e81171463288e9,YesNo
d5beb3de0dba11ecb1e81171463288e9,Others
d5beb4ba0dba11ecb1e81171463288e9,choose
d5beb7080dba11ecb1e81171463288e9,Others
d5bebaaa0dba11ecb1e81171463288e9,YesNo
d5bec11c0dba11ecb1e81171463288e9,Others
d5becda60dba11ecb1e81171463288e9,Others
d5bece8c0dba11ecb1e81171463288e9,number
d5bee71e0dba11ecb1e81171463288e9,YesNo
d5beeffc0dba11ecb1e81171463288e9,Others
d5bef6be0dba11ecb1e81171463288e9,color
d5befdee0dba11ecb1e81171463288e9,number
d5beff1a0dba11ecb1e81171463288e9,Others
d5beffb00dba11ecb1e81171463288e9,YesNo
d5bf05c80dba11ecb1e81171463288e9,shape
d5bf0a960dba11ecb1e81171463288e9,YesNo
